,NOMBRE,PJ,PG,PP,PE,GF,GC,FV,CV,GD,PUNTOS
0,,10,6,0,4,14,5,7,3,9,22
1,,11,5,1,5,16,9,7,4,7,20
2,,11,4,0,7,13,6,8,3,7,19
3,,10,5,2,3,14,8,5,3,6,18
4,,11,5,4,2,12,11,8,8,1,17
5,,10,3,0,7,15,10,8,6,5,16
6,,10,4,2,4,10,8,2,5,2,16
7,,10,4,3,3,19,15,12,8,4,15
8,,10,4,3,3,11,9,3,6,2,15
9,,10,4,3,3,13,11,4,8,2,15
10,,10,3,4,3,19,17,4,8,2,12
11,,10,3,4,3,12,14,7,9,-2,12
12,,10,3,4,3,11,13,3,7,-2,12
13,,10,2,3,5,11,12,5,9,-1,11
14,,11,2,4,5,7,15,3,11,-8,11
15,,11,2,5,4,13,17,7,7,-4,10
16,,10,3,6,1,13,18,4,9,-5,10
17,,11,1,4,6,10,16,4,8,-6,9
18,,10,0,5,5,4,11,2,6,-7,5
19,,10,1,7,2,5,17,2,9,-12,5
